scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh,verified_lpsp_battery_alone,reference_lpsp_battery_alone,lean_on_diesel_difference
95,9032.478,37,9250.0,37,9250.0,0.0,False,False,0.004623449238335575,0.0,True,0.0,0.6971691705898165,0.6971691705898165,0.0,0.3004074476596535,0.3004074476596535,0.0,1692480.362387172,1692480.362387172,0.0,289705.6060329329,289705.6060329329,0.0,0.30283082941018347,0.30283082941018347,0.0
96,5370.047,22,5500.0,18,4500.0,1000.0,False,True,0.005532242658046194,0.0,True,0.0,0.5348918325693448,0.5169858599368953,0.01790597263244953,0.34289693191600956,0.3425982172611777,0.00029871465483188864,1788996.0964017706,1787437.6124910335,1558.4839107370935,179651.2619801541,281032.9711651687,-101381.7091850146,0.46510816743065514,0.4830141400631047,-0.017905972632449585
99,5896.5293,24,6000.0,23,5750.0,250.0,False,True,0.009784266800248353,0.0,True,0.0,0.9325137003379509,0.9267317250506012,0.005781975287349694,0.24036134852886734,0.2403469248969489,1.4423631918447644e-05,725646.8471909205,725603.3024900327,43.5447008877527,1770645.9617750444,1789537.9635460111,-18892.001770966686,0.06748629966204908,0.07326827494939882,-0.005781975287349736
100,3795.8435,16,4000.0,16,4000.0,0.0,False,False,0.006902730297429827,0.0,True,0.0,0.9291313134795416,0.9291313134795416,0.0,0.2337125348660505,0.2337125348660505,0.0,513727.79302639153,513727.79302639153,0.0,1191180.6408442217,1191180.6408442217,0.0,0.07086868652045841,0.07086868652045841,0.0
132,4900.1846,20,5000.0,21,5250.0,-250.0,True,False,0.005746996149968431,0.0,True,0.0,0.6740374749612035,0.6776670643672895,-0.0036295894060860423,0.3185740932321071,0.31842934014353724,0.00014475308856987112,1347247.1096836012,1346634.9501127617,612.1595708394889,841336.6526877158,824718.2280210309,16618.424666684936,0.3259625250387965,0.3223329356327105,0.0036295894060860423
139,6720.591,27,6750.0,27,6750.0,0.0,False,False,0.0011345797295120308,0.0,True,0.0,0.9061880904434998,0.9061880904434998,0.0,0.22819613459591725,0.22819613459591725,0.0,844107.8191657462,844107.8191657462,0.0,1296704.0877160497,1296704.0877160497,0.0,0.0938119095565002,0.0938119095565002,0.0
144,4415.2363,18,4500.0,18,4500.0,0.0,False,False,0.0016599656072684432,0.0,True,0.0,0.9008116432430673,0.9008116432430673,0.0,0.27099533225808015,0.27099533225808015,0.0,733990.312694825,733990.312694825,0.0,1800236.7133531566,1800236.7133531566,0.0,0.0991883567569327,0.0991883567569327,0.0
149,1857.205,8,2000.0,7,1750.0,250.0,False,True,0.009097413413542754,0.0,True,0.0,0.5319462808738145,0.5254827693522934,0.006463511521521026,0.3442652637933221,0.3441649353081863,0.00010032848513580328,1109965.0180956053,1109641.5433784868,323.4747171185445,468204.1511388149,490144.2469743243,-21940.09583550936,0.46805371912618554,0.47451723064770657,-0.006463511521521026
150,7092.0312,29,7250.0,28,7000.0,250.0,False,True,0.008679310901131165,0.0,True,0.0,0.8916130395712949,0.8871964042990826,0.004416635272212255,0.2318289188381156,0.2317436201819486,8.529865616699328e-05,863490.5787028868,863172.8677531686,317.7109497182537,1155279.2663528747,1173405.9829683097,-18126.71661543497,0.10838696042870512,0.11280359570091736,-0.004416635272212241
152,1544.0165,7,1750.0,7,1750.0,0.0,False,False,0.008368106871107228,0.0,True,0.0,0.5832219256623923,0.5832219256623923,0.0,0.32499400204936607,0.32499400204936607,0.0,812783.0743227741,812783.0743227741,0.0,462231.71452540316,462231.71452540316,0.0,0.41677807433760766,0.41677807433760766,0.0
156,1188.7765,5,1250.0,5,1250.0,0.0,False,False,0.0010827121100399628,0.0,True,0.0,0.46725411069546174,0.46725411069546174,0.0,0.3394409354449325,0.3394409354449325,0.0,852190.738726943,852190.738726943,0.0,97924.87169479612,97924.87169479612,0.0,0.5327458893045383,0.5327458893045383,0.0
157,5842.207,24,6000.0,23,5750.0,250.0,False,True,0.0024015487817580228,0.0,True,0.0,0.6208063701881366,0.6175898020492612,0.0032165681388753864,0.3147428848157443,0.3147328635760822,1.0021239662094672e-05,1690073.9851710848,1690020.174148599,53.8110224858392,239870.86744908456,257866.0744366594,-17995.206987574842,0.3791936298118635,0.3824101979507388,-0.0032165681388752754
168,1904.4391,8,2000.0,7,1750.0,250.0,False,True,0.004164420833169591,0.0,True,0.0,0.6221681374803859,0.6135658204069765,0.008602317073409416,0.32168381494898013,0.3216159562249198,6.785872406034343e-05,830377.4055837663,830202.2387005944,175.16688317188527,717515.188223411,741729.9097356527,-24214.721512241755,0.3778318625196141,0.38643417959302356,-0.008602317073409471
170,4994.2876,20,5000.0,21,5250.0,-250.0,True,False,0.006119641385729957,0.0,True,0.0,0.869654913354744,0.8756370277207073,-0.005982114365963298,0.2420900736919153,0.2418500269401892,0.0002400467517260918,756100.1570096443,755350.4385932637,749.7184163805796,945047.8360643057,924993.7676482039,20054.068416101858,0.13034508664525607,0.12436297227929272,0.0059821143659633536
175,3592.2927,15,3750.0,14,3500.0,250.0,False,True,0.004580925473499198,0.0,True,0.0,0.8500538416805121,0.8429096953778751,0.007144146302637044,0.2547499118698327,0.25457084969068,0.00017906217915270028,573112.7592514211,572709.9217437708,402.83750765025616,695641.4796687597,713700.1444541237,-18058.664785363944,0.14994615831948785,0.15709030462212492,-0.007144146302637072
177,9679.548,39,9750.0,39,9750.0,0.0,False,False,0.007774596252285049,0.0,True,0.0,0.7764784718112709,0.7764784718112709,0.0,0.2748964793694489,0.2748964793694489,0.0,1639127.292105747,1639127.292105747,0.0,877955.919476826,877955.919476826,0.0,0.2235215281887291,0.2235215281887291,0.0
179,6793.673,28,7000.0,28,7000.0,0.0,False,False,0.001020993468952236,0.0,True,0.0,0.8704154226053528,0.8704154226053528,0.0,0.26026810399151756,0.26026810399151756,0.0,959254.5897116076,959254.5897116076,0.0,1310749.2741771834,1310749.2741771834,0.0,0.1295845773946472,0.1295845773946472,0.0
183,3562.2952,15,3750.0,15,3750.0,0.0,False,False,0.0017901519363220375,0.0,True,0.0,0.6645392885496273,0.6645392885496273,0.0,0.30670771928744894,0.30670771928744894,0.0,1024546.8170933175,1024546.8170933175,0.0,552147.8666547253,552147.8666547253,0.0,0.3354607114503727,0.3354607114503727,0.0
184,9229.644,37,9250.0,38,9500.0,-250.0,True,False,0.004247086060571448,0.0,True,0.0,0.8938691690387981,0.897295521411288,-0.0034263523724898937,0.25685443457965995,0.2566799177329084,0.0001745168467515712,1196024.5886082724,1195211.9631997105,812.6254085619003,1962793.642787047,1945808.959017225,16984.683769821888,0.10613083096120193,0.10270447858871198,0.003426352372489949
188,3827.9097,16,4000.0,16,4000.0,0.0,False,False,0.009765843368035987,0.0,True,0.0,0.9666391283843018,0.9666391283843018,0.0,0.30772949848998604,0.30772949848998604,0.0,649754.7375049585,649754.7375049585,0.0,3456973.2996038226,3456973.2996038226,0.0,0.03336087161569823,0.03336087161569823,0.0
195,5102.292,21,5250.0,20,5000.0,250.0,False,True,0.008744510368340452,0.0,True,0.0,0.9493779534123787,0.9442180996197113,0.005159853792667479,0.2818888176193482,0.28142959893016983,0.0004592186891783645,771327.5419193082,770070.9896881173,1256.552231190959,2961383.7057034047,2976189.0138160344,-14805.30811262969,0.05062204658762124,0.05578190038028879,-0.005159853792667549
198,3112.2825,13,3250.0,12,3000.0,250.0,False,True,0.0028223451635214225,0.0,True,0.0,0.9771167421518729,0.9700031533960131,0.007113588755859879,0.3176510880109714,0.31683138926714055,0.0008196987438308656,604784.425767496,603223.779345051,1560.6464224449592,3692629.812790734,3706829.4440634805,-14199.63127274625,0.02288325784812709,0.029996846603986948,-0.007113588755859858
199,8506.266,35,8750.0,34,8500.0,250.0,False,True,0.009095301987249615,0.0,True,0.0,0.797565779604126,0.7943548559088403,0.00321092369528575,0.27199333108041507,0.2719858532538171,7.477826597990234e-06,1295758.8550012799,1295723.2311130322,35.62388824764639,705246.5277015613,722117.6139816943,-16871.086280132993,0.20243422039587405,0.2056451440911597,-0.003210923695285639
203,1860.9615,8,2000.0,8,2000.0,0.0,False,False,0.006088562418871235,0.0,True,0.0,0.577022359112882,0.577022359112882,0.0,0.33280506191215237,0.33280506191215237,0.0,969351.9874309122,969351.9874309122,0.0,634149.4945660338,634149.4945660338,0.0,0.42297764088711803,0.42297764088711803,0.0
210,2963.6616,12,3000.0,12,3000.0,0.0,False,False,0.008933632728806762,0.0,True,0.0,0.968460136449295,0.968460136449295,0.0,0.29919214488078316,0.29919214488078316,0.0,479098.06934667943,479098.06934667943,0.0,2679983.255942664,2679983.255942664,0.0,0.031539863550705025,0.031539863550705025,0.0
214,6473.2544,26,6500.0,26,6500.0,0.0,False,False,0.008656950444037581,0.0,True,0.0,0.8923271876887539,0.8923271876887539,0.0,0.24175745328813772,0.24175745328813772,0.0,826752.24299023,826752.24299023,0.0,1115871.0919797826,1115871.0919797826,0.0,0.10767281231124613,0.10767281231124613,0.0
218,6701.46,27,6750.0,27,6750.0,0.0,False,False,0.008846361341354747,0.0,True,0.0,0.7946486710902121,0.7946486710902121,0.0,0.2625625613985881,0.2625625613985881,0.0,1009728.2263434924,1009728.2263434924,0.0,353316.3518761088,353316.3518761088,0.0,0.20535132890978788,0.20535132890978788,0.0
220,2819.5237,12,3000.0,11,2750.0,250.0,False,True,0.009453635338582789,0.0,True,0.0,0.8436895408478441,0.8355102184114748,0.008179322436369318,0.2960130697838855,0.2958844775504579,0.00012859223342759352,542226.0903403154,541990.5397140188,235.55062629655004,1123896.2623773008,1140057.9896182837,-16161.727240982931,0.1563104591521559,0.16448978158852523,-0.008179322436369318
227,4681.7617,19,4750.0,17,4250.0,500.0,False,True,0.0017554750182835477,0.0,True,0.0,0.5722890457753301,0.5662033809339794,0.0060856648413507575,0.3260366462458857,0.3260313892427345,5.257003151182271e-06,1987335.3934219833,1987303.3496976169,32.04372436646372,353104.2652670463,391908.9270743431,-38804.6618072968,0.42771095422466987,0.43379661906602063,-0.0060856648413507575
229,4146.23,17,4250.0,17,4250.0,0.0,False,False,0.005124352855030989,0.0,True,0.0,0.8796562947118222,0.8796562947118222,0.0,0.25293427776158633,0.25293427776158633,0.0,620219.5160648901,620219.5160648901,0.0,950095.4483136921,950095.4483136921,0.0,0.12034370528817782,0.12034370528817782,0.0
230,1907.7253,8,2000.0,7,1750.0,250.0,False,True,0.003594545920703962,0.0,True,0.0,0.48904463173056034,0.4842400322873843,0.004804599443176016,0.35623386079751085,0.3558911170459074,0.00034274375160342485,1673398.6497628433,1671788.6205256903,1610.0292371530086,789803.4081525921,813394.9493581064,-23591.541205514222,0.5109553682694397,0.5157599677126157,-0.004804599443176016
238,2442.7957,10,2500.0,10,2500.0,0.0,False,False,0.0036308718092792347,0.0,True,0.0,0.8425173741800982,0.8425173741800982,0.0,0.2710653855243088,0.2710653855243088,0.0,423493.12273531524,423493.12273531524,0.0,608744.9488066746,608744.9488066746,0.0,0.15748262581990174,0.15748262581990174,0.0
240,4771.5054,20,5000.0,19,4750.0,250.0,False,True,0.005674517663564971,0.0,True,0.0,0.7864900725637856,0.7817857182837223,0.0047043542800632165,0.2746995251249152,0.2745195420253969,0.00017998309951827718,901450.5054587028,900859.8751838198,590.6302748830058,656910.8590529547,673346.7985271036,-16435.93947414891,0.2135099274362144,0.21821428171627763,-0.004704354280063244
247,3008.5254,13,3250.0,12,3000.0,250.0,False,True,0.009510562232498798,0.0,True,0.0,0.7932863871259679,0.7867821220526865,0.00650426507328139,0.3019675251309992,0.3016460740132205,0.00032145111777870383,655235.1342690826,654537.6219580243,697.5123110582354,1064475.5165028768,1080071.9623907586,-15596.445887881797,0.20671361287403214,0.21321787794731353,-0.00650426507328139
251,2098.3167,9,2250.0,9,2250.0,0.0,False,False,0.009939557942529653,0.0,True,0.0,0.5402541028900985,0.5402541028900985,0.0,0.35371519807784324,0.35371519807784324,0.0,1328458.3281411724,1328458.3281411724,0.0,793630.2988534297,793630.2988534297,0.0,0.4597458971099016,0.4597458971099016,0.0
270,7118.4307,29,7250.0,28,7000.0,250.0,False,True,0.0053655425058452,0.0,True,0.0,0.9245998697574571,0.9204377233539383,0.004162146403518863,0.2550746145668966,0.2550082522138915,6.636235300511162e-05,988678.6164350421,988421.3935065123,257.2229285298381,2456661.9906369173,2473582.417437616,-16920.426800698508,0.07540013024254293,0.0795622766460617,-0.004162146403518779
283,5114.829,21,5250.0,20,5000.0,250.0,False,True,0.005096349696794844,0.0,True,0.0,0.8338052258408015,0.8284338476070234,0.00537137823377809,0.25968531147668217,0.2595028165446009,0.00018249493208127854,785432.9555804613,784880.9893060965,551.9662743648514,685766.0864031292,703097.4932472382,-17331.406844109064,0.1661947741591985,0.17156615239297654,-0.005371378233778035
287,3457.9387,14,3500.0,14,3500.0,0.0,False,False,0.008227181572129205,0.0,True,0.0,0.8461672280140291,0.8461672280140291,0.0,0.31557323464924236,0.31557323464924236,0.0,702122.8868171808,702122.8868171808,0.0,1749063.3204785776,1749063.3204785776,0.0,0.15383277198597095,0.15383277198597095,0.0
290,3667.7898,15,3750.0,15,3750.0,0.0,False,False,0.007860570621661234,0.0,True,0.0,0.9688589145242493,0.9688589145242493,0.0,0.30836465330095086,0.30836465330095086,0.0,586941.8645415647,586941.8645415647,0.0,3605983.747071913,3605983.747071913,0.0,0.031141085475750643,0.031141085475750643,0.0
291,4778.5923,20,5000.0,19,4750.0,250.0,False,True,0.006785959636930405,0.0,True,0.0,0.9196122481991517,0.9137624298262632,0.005849818372888449,0.2473683841149255,0.24660494069998196,0.0007634434149435543,594121.6196215644,592288.005193437,1833.6144281274173,1133563.048718286,1148303.724072975,-14740.675354689127,0.08038775180084837,0.08623757017373684,-0.005849818372888477
293,3252.2883,14,3500.0,13,3250.0,250.0,False,True,0.007166093695502362,0.0,True,0.0,0.7443011688939347,0.7391721636912512,0.005129005202683556,0.3017263517985238,0.3010381880498193,0.0006881637487045067,787048.8866171602,785253.8212905829,1795.0653265772853,972816.8293087562,986766.8234199598,-13949.994111203589,0.2556988311060653,0.26082783630874884,-0.005129005202683556
296,4074.8904,17,4250.0,17,4250.0,0.0,False,False,0.008931005892139798,0.0,True,0.0,0.9701471178083443,0.9701471178083443,0.0,0.2979132176964419,0.2979132176964419,0.0,687510.3102360269,687510.3102360269,0.0,3883563.967220463,3883563.967220463,0.0,0.02985288219165566,0.02985288219165566,0.0
305,3171.8718,13,3250.0,13,3250.0,0.0,False,False,0.006084210242360388,0.0,True,0.0,0.950303166521826,0.950303166521826,0.0,0.26153252062214105,0.26153252062214105,0.0,433151.44084385154,433151.44084385154,0.0,1631230.0302288926,1631230.0302288926,0.0,0.049696833478173996,0.049696833478173996,0.0
308,3436.1025,14,3500.0,14,3500.0,0.0,False,False,0.005641159701830767,0.0,True,0.0,0.9743388638202716,0.9743388638202716,0.0,0.2959875328714218,0.2959875328714218,0.0,632504.8187639699,632504.8187639699,0.0,3852902.937591499,3852902.937591499,0.0,0.025661136179728445,0.025661136179728445,0.0
309,2594.64,11,2750.0,11,2750.0,0.0,False,False,0.009273054167133976,0.0,True,0.0,0.7395237220592288,0.7395237220592288,0.0,0.2809178296156739,0.2809178296156739,0.0,519151.60213669616,519151.60213669616,0.0,198812.52194852207,198812.52194852207,0.0,0.26047627794077116,0.26047627794077116,0.0
315,274.07706,2,500.0,1,250.0,250.0,False,True,0.006373335324065588,0.0,True,0.0,0.2849821427070849,0.28176827514005975,0.0032138675670251304,0.3974207030779422,0.396831659922435,0.000589043155507174,1768309.0064616578,1765688.080302022,2620.9261596358847,35866.563648763884,51412.93755097247,-15546.373902208587,0.7150178572929151,0.7182317248599402,-0.0032138675670251304
318,2327.3628,10,2500.0,9,2250.0,250.0,False,True,0.001587185640588018,0.0,True,0.0,0.9605297741367144,0.9503492612126347,0.010180512924079621,0.3106005857041483,0.3102142264764961,0.00038635922765217767,470654.7833746679,470069.33110263443,585.4522720334935,2327430.09550716,2343716.966005331,-16286.870498171076,0.039470225863285635,0.04965073878736524,-0.010180512924079607
321,3491.877,14,3500.0,14,3500.0,0.0,False,False,0.009764115791060846,0.0,True,0.0,0.8061558849726644,0.8061558849726644,0.0,0.29080929196745553,0.29080929196745553,0.0,720104.3287303597,720104.3287303597,0.0,1204024.6740598872,1204024.6740598872,0.0,0.1938441150273355,0.1938441150273355,0.0
325,6414.663,26,6500.0,26,6500.0,0.0,False,False,0.004893754968873565,0.0,True,0.0,0.9442827670563136,0.9442827670563136,0.0,0.2617540672143178,0.2617540672143178,0.0,879498.5825233583,879498.5825233583,0.0,2997902.909948357,2997902.909948357,0.0,0.05571723294368641,0.05571723294368641,0.0
330,4696.853,19,4750.0,18,4500.0,250.0,False,True,0.007792607412016372,0.0,True,0.0,0.7821123050885864,0.7767458042305984,0.005366500857988066,0.27823878564273413,0.27803037904784017,0.00020840659489396174,832688.3422433326,832064.6414835197,623.7007598129567,592760.1632689708,610885.0885638341,-18124.925294863293,0.21788769491141355,0.2232541957694016,-0.005366500857988038
353,5590.8516,23,5750.0,23,5750.0,0.0,False,False,0.007426675460467602,0.0,True,0.0,0.9136425583109462,0.9136425583109462,0.0,0.24846426426004273,0.24846426426004273,0.0,653011.2768338905,653011.2768338905,0.0,1228202.7281223594,1228202.7281223594,0.0,0.08635744168905382,0.08635744168905382,0.0
360,4299.307,18,4500.0,17,4250.0,250.0,False,True,0.00877056037498325,0.0,True,0.0,0.9159661783924591,0.9086779772658253,0.007288201126633753,0.24785851352512553,0.24735693413343937,0.0005015793916861577,542685.6978495147,541587.4908186856,1098.2070308290422,1026418.2804050327,1043272.8804002615,-16854.59999522881,0.08403382160754089,0.09132202273417472,-0.0072882011266338365
366,4183.7056,17,4250.0,17,4250.0,0.0,False,False,0.0036084975355116233,0.0,True,0.0,0.9198421997759636,0.9198421997759636,0.0,0.234181325565995,0.234181325565995,0.0,561902.2421260851,561902.2421260851,0.0,1156776.0366257776,1156776.0366257776,0.0,0.08015780022403639,0.08015780022403639,0.0
371,2159.6196,9,2250.0,8,2000.0,250.0,False,True,0.007984590474769182,0.0,True,0.0,0.4739539727847196,0.4702164482234089,0.003737524561310712,0.35423265563171574,0.3542235503207434,9.105310972368219e-06,2150200.553806475,2150145.28435465,55.26945182494819,692426.4851403448,717426.0124308724,-24999.527290527592,0.5260460272152804,0.5297835517765911,-0.003737524561310712
376,6344.5146,26,6500.0,27,6750.0,-250.0,True,False,0.004334350857369218,0.0,True,0.0,0.6669284113612183,0.6695950106417032,-0.0026665992804849603,0.30463804204706557,0.3046285075891233,9.534457942272923e-06,1736336.4525946334,1736282.109326243,54.343268390512094,841049.5984107368,824810.7933063621,16238.805104374653,0.3330715886387817,0.3304049893582968,0.002666599280484905
378,3846.6233,16,4000.0,15,3750.0,250.0,False,True,0.007787937911509557,0.0,True,0.0,0.6416348202124109,0.6369211157041246,0.004713704508286343,0.3114901943980461,0.31141792440497706,7.226999306902959e-05,959752.2334517257,959529.5577832552,222.6756684704451,144547.08270873583,159538.11394867662,-14991.031239940785,0.3583651797875891,0.3630788842958755,-0.004713704508286398
414,3157.222,13,3250.0,14,3500.0,-250.0,True,False,0.0060069738296556485,0.0,True,0.0,0.7444295257825668,0.7514034618430787,-0.006973936060511887,0.2822887071445273,0.2819248544724711,0.0003638526720561863,628914.8103975905,628104.1781318736,810.6322657169076,281581.0124785144,264338.02077036176,17242.991708152636,0.2555704742174332,0.24859653815692123,0.006973936060511943
415,2525.5818,11,2750.0,10,2500.0,250.0,False,True,0.00505333831534438,0.0,True,0.0,0.9755827738996403,0.9656980980459464,0.009884675853693903,0.2897646261107115,0.2890439436917173,0.0007206824189942007,436171.06134426524,435086.24702512624,1084.8143191389972,2518539.4238010906,2534538.007563873,-15998.583762782626,0.024417226100359648,0.03430190195405356,-0.009884675853693913
416,2125.7344,9,2250.0,8,2000.0,250.0,False,True,0.0020889650367755808,0.0,True,0.0,0.635187587254079,0.6267988206884152,0.008388766565663786,0.32217724300689565,0.3219728772991387,0.0002043657077569483,766938.7858218055,766452.295881337,486.48994046845473,414685.48851683224,436715.647559516,-22030.15904268378,0.364812412745921,0.3732011793115848,-0.008388766565663786
422,4329.949,18,4500.0,18,4500.0,0.0,False,False,0.006756563257030002,0.0,True,0.0,0.6882055736737789,0.6882055736737789,0.0,0.3149877494209559,0.3149877494209559,0.0,1173173.1609660075,1173173.1609660075,0.0,1049480.3037686255,1049480.3037686255,0.0,0.3117944263262211,0.3117944263262211,0.0
426,3557.5706,15,3750.0,14,3500.0,250.0,False,True,0.0030760303643367903,0.0,True,0.0,0.9130875295405714,0.903289707290053,0.009797822250518395,0.23403574364289578,0.2339094821962139,0.00012626144668187456,432777.25011029455,432543.76833165943,233.48177863511955,764640.3966934956,783562.0459795954,-18921.649286099826,0.08691247045942857,0.09671029270994697,-0.009797822250518395
429,9086.401,37,9250.0,36,9000.0,250.0,False,True,0.0038794523011291826,0.0,True,0.0,0.7682697306628475,0.7655756812830891,0.0026940493797584786,0.28297954974360773,0.2828349211956797,0.00014462854792801627,1539058.8730853726,1538272.272604201,786.6004811716266,724293.711587952,740858.000265047,-16564.28867709497,0.23173026933715243,0.2344243187169109,-0.0026940493797584786
432,2094.4211,9,2250.0,7,1750.0,500.0,False,True,0.00921139379734115,0.0,True,0.0,0.4984117445049421,0.4879447285497912,0.010467015955150871,0.3576295628645186,0.3576083278401979,2.123502432066493e-05,1518104.0093879034,1518013.8686979043,90.14068999909796,591405.13892184,637256.6301593829,-45851.49123754294,0.5015882554950579,0.5120552714502088,-0.010467015955150871
450,4446.79,18,4500.0,18,4500.0,0.0,False,False,0.005650637661204216,0.0,True,0.0,0.6368013885886858,0.6368013885886858,0.0,0.3109287602680709,0.3109287602680709,0.0,1054071.98383557,1054071.98383557,0.0,95867.12124898894,95867.12124898894,0.0,0.36319861141131415,0.36319861141131415,0.0
472,3530.1826,15,3750.0,14,3500.0,250.0,False,True,0.0017220032617395464,0.0,True,0.0,0.6604033329518876,0.6550840527960546,0.0053192801558329394,0.31118576749967897,0.31114355676139066,4.221073828830635e-05,1022272.1622503417,1022133.4963240467,138.66592629498336,466036.6536345469,484674.5342506169,-18637.880616070004,0.3395966670481124,0.3449159472039453,-0.005319280155832884
478,3367.782,14,3500.0,14,3500.0,0.0,False,False,0.008341416439885951,0.0,True,0.0,0.9461691267791341,0.9461691267791341,0.0,0.2853071049772489,0.2853071049772489,0.0,584740.4946065197,584740.4946065197,0.0,2392639.122892785,2392639.122892785,0.0,0.05383087322086587,0.05383087322086587,0.0
486,4310.952,18,4500.0,17,4250.0,250.0,False,True,0.008093489846873414,0.0,True,0.0,0.9614295106413238,0.9558328047742294,0.005596705867094376,0.2858519229014364,0.28506711225169584,0.0007848106497405638,727143.674085224,725147.2904558218,1996.3836294022622,3322824.159117565,3339038.893936095,-16214.734818529803,0.03857048935867622,0.04416719522577065,-0.005596705867094431
497,2890.8894,12,3000.0,12,3000.0,0.0,False,False,0.008455262386340423,0.0,True,0.0,0.9783955554112255,0.9783955554112255,0.0,0.348315378582466,0.348315378582466,0.0,610712.8986745013,610712.8986745013,0.0,4477697.207078366,4477697.207078366,0.0,0.02160444458877449,0.02160444458877449,0.0
